LOGIN:tenuki OK
BEGIN Game_Summary
Protocol_Version:1.2
Protocol_Mode:Server
Format:Shogi 1.0
Declaration:Jishogi 1.1
Game_ID:dr4prd+buoy_blackbid300_dr4y-2-bottom_4_tenuki_shibaurashogi-600-2F+tenuki+shibaurashogi+20231202113036
Name+:tenuki
Name-:shibaurashogi
Your_Turn:+
Rematch_On_Draw:NO
To_Move:+
Max_Moves:512
BEGIN Time
Time_Unit:1sec
Total_Time:600
Byoyomi:0
Increment:2
Least_Time_Per_Move:0
END Time
BEGIN Position
P1-KY-KE-GI-KI-OU-KI-GI-KE-KY
P2 * -HI *  *  *  *  * -KA * 
P3-FU-FU-FU-FU-FU-FU-FU-FU-FU
P4 *  *  *  *  *  *  *  *  * 
P5 *  *  *  *  *  *  *  *  * 
P6 *  *  *  *  *  *  *  *  * 
P7+FU+FU+FU+FU+FU+FU+FU+FU+FU
P8 * +KA *  *  *  *  * +HI * 
P9+KY+KE+GI+KI+OU+KI+GI+KE+KY
+
+5958OU,T302
-5152OU,T2
+5859OU,T2
-5251OU,T2
END Position
END Game_Summary
START:dr4prd+buoy_blackbid300_dr4y-2-bottom_4_tenuki_shibaurashogi-600-2F+tenuki+shibaurashogi+20231202113036
+7776FU,T0
-3334FU,T9
+2726FU,T0
-8384FU,T10
+2625FU,T0
-8485FU,T6
+2524FU,T0
-2324FU,T6
+2824HI,T0
-2288UM,T24
+7988GI,T0
-0033KA,T18
+2428HI,T0
-0026FU,T18
+8877GI,T0
-8222HI,T6
+4938KI,T0
-6172KI,T54
+5968OU,T9
-3142GI,T53
+3736FU,T12
-3344KA,T31
+2937KE,T9
-7374FU,T32
+0046KA,T14
-8173KE,T6
+0024FU,T12
-4233GI,T7
+7766GI,T9
-5354FU,T6
+5756FU,T9
-6364FU,T5
+7675FU,T10
-6465FU,T5
+7574FU,T9
-6566FU,T5
+7473TO,T9
-6667TO,T5
+6867OU,T9
-4499UM,T5
+6758OU,T10
-9989UM,T30
+2826HI,T9
-0067GI,T30
+5848OU,T14
-6756NG,T8
+2423TO,T9
-5646NG,T4
+4746FU,T9
-0056KE,T17
+4847OU,T9
-0044KA,T19
+2625HI,T9
-0024KY,T4
+2575HI,T10
-8967UM,T4
+2322TO,T9
-4466KA,T5
+0058GI,T14
-6675KA,T5
+0052FU,T11
-5152OU,T4
+0053FU,T9
-5242OU,T10
+5352TO,T12
-4252OU,T5
+0053FU,T9
-5253OU,T5
+3745KE,T10
-5344OU,T6
+0049KE,T11
-6766UM,T27
+7372TO,T11
-6639UM,T5
+3839KI,T9
-7539UM,T5
+0053KA,T9
-4455OU,T5
+0075HI,T9
-0065KI,T5
+7565HI,T9
-5565OU,T5
+0064KI,T13
-6575OU,T8
+6454KI,T10
-7584OU,T5
+5371UM,T13
-0076HI,T18
+7162UM,T10
-8475OU,T10
+0064GI,T9
-7574OU,T6
+6273UM,T6
%TORYO
#RESIGN
#WIN
