LOGIN:tenuki OK
BEGIN Game_Summary
Protocol_Version:1.2
Protocol_Mode:Server
Format:Shogi 1.0
Declaration:Jishogi 1.1
Game_ID:dr4prd+buoy_blackbid300_dr4y-3-top_4_nanashogi_tenuki-600-2F+nanashogi+tenuki+20231202130036
Name+:nanashogi
Name-:tenuki
Your_Turn:-
Rematch_On_Draw:NO
To_Move:+
Max_Moves:512
BEGIN Time
Time_Unit:1sec
Total_Time:600
Byoyomi:0
Increment:2
Least_Time_Per_Move:0
END Time
BEGIN Position
P1-KY-KE-GI-KI-OU-KI-GI-KE-KY
P2 * -HI *  *  *  *  * -KA * 
P3-FU-FU-FU-FU-FU-FU-FU-FU-FU
P4 *  *  *  *  *  *  *  *  * 
P5 *  *  *  *  *  *  *  *  * 
P6 *  *  *  *  *  *  *  *  * 
P7+FU+FU+FU+FU+FU+FU+FU+FU+FU
P8 * +KA *  *  *  *  * +HI * 
P9+KY+KE+GI+KI+OU+KI+GI+KE+KY
+
+5958OU,T302
-5152OU,T2
+5859OU,T2
-5251OU,T2
END Position
END Game_Summary
START:dr4prd+buoy_blackbid300_dr4y-3-top_4_nanashogi_tenuki-600-2F+nanashogi+tenuki+20231202130036
+2726FU,T6
-3334FU,T0
+7776FU,T8
-8384FU,T0
+2625FU,T12
-8485FU,T0
+6978KI,T6
-4132KI,T0
+2524FU,T6
-2324FU,T0
+2824HI,T13
-8586FU,T0
+8786FU,T6
-8286HI,T0
+2434HI,T15
-2288UM,T0
+7988GI,T6
-0028FU,T0
+3928GI,T8
-0045KA,T0
+3424HI,T5
-0023FU,T0
+0087FU,T6
-8676HI,T0
+0077FU,T10
-7666HI,T0
+0034KA,T20
-2324FU,T0
+3445KA,T1
-6665HI,T0
+4556KA,T6
-6555HI,T0
+0066KA,T8
-0026HI,T0
+4938KI,T8
-5556HI,T0
+5756FU,T1
-2656HI,T0
+0058FU,T17
-5666HI,T18
+6766FU,T0
-0023KA,T18
+8879GI,T0
-2378UM,T39
+7978GI,T1
-0088FU,T18
+0056KA,T0
-7172GI,T23
+3736FU,T1
-9394FU,T18
+2837GI,T10
-8889TO,T34
+7889GI,T7
-9495FU,T33
+0025FU,T12
-0044KE,T24
+5667KA,T11
-0056KA,T18
+8978GI,T2
-5667UM,T18
+7867GI,T2
-0088KA,T18
+6778GI,T2
-8899UM,T18
+2524FU,T7
-9988UM,T18
+2423TO,T2
-3223KI,T18
+0045KA,T11
-2322KI,T18
+5968OU,T1
-0054KY,T18
+7867GI,T9
-0055KI,T25
+0023FU,T15
-2232KI,T18
+4534KA,T1
-4456KE,T18
+6756GI,T11
-5556KI,T18
+6859OU,T0
-8877UM,T18
+5949OU,T1
-7766UM,T31
+0059KE,T0
-0026FU,T26
+2322FU,T12
-3122GI,T18
+9796FU,T1
-2627TO,T19
+3827KI,T9
-0026FU,T18
+2726KI,T1
-0028FU,T18
+3728GI,T1
-0025FU,T23
+2616KI,T7
-2233GI,T18
+3445KA,T6
-0048GI,T36
+4938OU,T0
-4859GI,T18
+0062FU,T0
-5162OU,T2
+0064FU,T16
-4344FU,T2
+6463TO,T5
-6263OU,T2
+4556KA,T1
-5948NG,T2
+3837OU,T11
-5456KY,T2
+0064FU,T2
-6352OU,T2
+6463TO,T10
-7263GI,T2
+0064FU,T7
-6372GI,T2
+0063KI,T3
-7263GI,T2
+6463TO,T7
-5263OU,T2
+0069HI,T7
-0068FU,T2
+6979HI,T2
-0064KA,T2
+4746FU,T3
-5658NY,T2
+3727OU,T3
-6656UM,T2
+0041HI,T2
-5638UM,T2
+2718OU,T0
-3828UM,T2
+1828OU,T1
-6446KA,T2
+0037GI,T2
-0038KI,T2
+2818OU,T2
-0052GI,T2
+4121RY,T5
-3837KI,T2
+2937KE,T5
-4637UM,T2
+0075KE,T2
-6354OU,T2
+2125RY,T2
-0045KE,T2
+7977HI,T4
-3738UM,T2
+0029KA,T3
-3829UM,T2
+2529RY,T5
-0038KA,T2
+2928RY,T4
-0027FU,T2
+7727HI,T2
-0026FU,T2
+1626KI,T5
-0039GI,T2
+0076KA,T3
-0065KE,T2
+0066KI,T3
-3928NG,T2
+2728HI,T1
-0037HI,T2
+2838HI,T4
-3738RY,T2
+0028FU,T0
-5443OU,T2
+7665KA,T0
-4342OU,T2
+0021KA,T2
-0031FU,T2
+0043FU,T2
-4241OU,T2
+0025KE,T2
-5243GI,T2
+2533KE,T0
-3233KI,T2
+0042FU,T3
-4142OU,T2
+0022GI,T0
-0023HI,T2
+2233NG,T2
-2333HI,T2
+6538KA,T0
-4838NG,T2
+0024GI,T0
-3828NG,T2
+1828OU,T1
-0046KA,T2
+2818OU,T1
-4624KA,T2
+0022GI,T4
-3323HI,T2
+2143UM,T0
-2343HI,T2
+0021HI,T3
-0029GI,T2
+1829OU,T0
-0047KA,T2
+0038GI,T2
-4738UM,T2
+2938OU,T4
-0037GI,T2
+3829OU,T2
-4251OU,T2
+2131RY,T3
-0041KE,T2
+0052FU,T1
-5162OU,T2
+0063GI,T2
-6271OU,T2
+0082KA,T0
-7182OU,T2
+0083KI,T0
-8271OU,T2
+0072FU,T0
-6172KI,T2
+8372KI,T0
%TORYO
#RESIGN
#LOSE
