LOGIN:tenuki OK
BEGIN Game_Summary
Protocol_Version:1.2
Protocol_Mode:Server
Format:Shogi 1.0
Declaration:Jishogi 1.1
Game_ID:dr4prd+buoy_blackbid300_dr4y-5-top_4_tenuki_qinoa-600-2F+tenuki+qinoa+20231202150011
Name+:tenuki
Name-:qinoa
Your_Turn:+
Rematch_On_Draw:NO
To_Move:+
Max_Moves:512
BEGIN Time
Time_Unit:1sec
Total_Time:600
Byoyomi:0
Increment:2
Least_Time_Per_Move:0
END Time
BEGIN Position
P1-KY-KE-GI-KI-OU-KI-GI-KE-KY
P2 * -HI *  *  *  *  * -KA * 
P3-FU-FU-FU-FU-FU-FU-FU-FU-FU
P4 *  *  *  *  *  *  *  *  * 
P5 *  *  *  *  *  *  *  *  * 
P6 *  *  *  *  *  *  *  *  * 
P7+FU+FU+FU+FU+FU+FU+FU+FU+FU
P8 * +KA *  *  *  *  * +HI * 
P9+KY+KE+GI+KI+OU+KI+GI+KE+KY
+
+5958OU,T302
-5152OU,T2
+5859OU,T2
-5251OU,T2
END Position
END Game_Summary
START:dr4prd+buoy_blackbid300_dr4y-5-top_4_tenuki_qinoa-600-2F+tenuki+qinoa+20231202150011
+7776FU,T0
-4132KI,T7
+2868HI,T0
-8384FU,T24
+3938GI,T0
-8485FU,T24
+8877KA,T9
-3334FU,T24
+6766FU,T9
-3142GI,T23
+7978GI,T9
-1314FU,T22
+1716FU,T9
-5141OU,T22
+5948OU,T9
-7162GI,T21
+4839OU,T9
-5354FU,T20
+7867GI,T10
-6152KI,T19
+3928OU,T9
-4131OU,T18
+6756GI,T14
-6253GI,T18
+6888HI,T9
-7374FU,T17
+6958KI,T9
-4344FU,T17
+8786FU,T11
-8586FU,T16
+8886HI,T9
-0085FU,T15
+8688HI,T9
-6364FU,T15
+6665FU,T14
-8173KE,T14
+7795KA,T9
-5263KI,T14
+6564FU,T10
-5364GI,T13
+0065FU,T9
-6453GI,T13
+8868HI,T9
-8283HI,T12
+6564FU,T9
-6364KI,T12
+0084FU,T11
-8381HI,T12
+7675FU,T12
-7475FU,T11
+6864HI,T9
-5364GI,T11
+8483TO,T9
-9394FU,T10
+8372TO,T9
-8151HI,T10
+9584KA,T9
-0079HI,T10
+7273TO,T9
-5455FU,T9
+7363TO,T9
-5556FU,T9
+8451UM,T9
-4251GI,T9
+0081HI,T16
-2233KA,T8
+0025KE,T13
-3324KA,T8
+6364TO,T9
-3122OU,T8
+6453TO,T9
-0076KA,T8
+0041GI,T14
-3231KI,T7
+8182RY,T9
-0042GI,T7
+5342TO,T9
-5142GI,T7
+4152NG,T10
-5657TO,T7
+0041KI,T2
-3141KI,T7
+5241NG,T2
-0032KI,T6
+0052KI,T2
-4231GI,T6
+4131NG,T2
-3231KI,T6
+5241KI,T2
-0042GI,T6
+4131KI,T2
-2231OU,T6
+0033GI,T2
-2133KE,T5
+0022GI,T2
-3132OU,T5
+2533NK,T2
-2433KA,T5
+2233NG,T2
-3233OU,T5
+0025KE,T2
-3343OU,T5
+0052KA,T2
-4353OU,T5
+5274UM,T2
-0062FU,T5
+0052KI,T2
-5354OU,T4
+8262RY,T2
-5445OU,T4
+5242KI,T2
-4535OU,T4
+0036GI,T2
-3524OU,T4
+6253RY,T2
-0021KE,T4
+7441UM,T2
-0022KI,T4
+5357RY,T2
-3435FU,T4
+0077FU,T2
-7687UM,T4
+3635GI,T2
-2435OU,T4
+5755RY,T2
-0045GI,T4
+4131UM,T2
-2212KI,T4
+0088FU,T2
-8778UM,T3
+3121UM,T2
-0057FU,T3
+3736FU,T2
-3536OU,T3
+2112UM,T2
-0035GI,T3
+3837GI,T2
%TORYO
#RESIGN
#WIN
