LOGIN:tenuki OK
BEGIN Game_Summary
Protocol_Version:1.2
Protocol_Mode:Server
Format:Shogi 1.0
Declaration:Jishogi 1.1
Game_ID:dr4prd+buoy_blackbid300_dr4y-5-bottom_4_qinoa_tenuki-600-2F+qinoa+tenuki+20231202153411
Name+:qinoa
Name-:tenuki
Your_Turn:-
Rematch_On_Draw:NO
To_Move:+
Max_Moves:512
BEGIN Time
Time_Unit:1sec
Total_Time:600
Byoyomi:0
Increment:2
Least_Time_Per_Move:0
END Time
BEGIN Position
P1-KY-KE-GI-KI-OU-KI-GI-KE-KY
P2 * -HI *  *  *  *  * -KA * 
P3-FU-FU-FU-FU-FU-FU-FU-FU-FU
P4 *  *  *  *  *  *  *  *  * 
P5 *  *  *  *  *  *  *  *  * 
P6 *  *  *  *  *  *  *  *  * 
P7+FU+FU+FU+FU+FU+FU+FU+FU+FU
P8 * +KA *  *  *  *  * +HI * 
P9+KY+KE+GI+KI+OU+KI+GI+KE+KY
+
+5958OU,T302
-5152OU,T2
+5859OU,T2
-5251OU,T2
END Position
END Game_Summary
START:dr4prd+buoy_blackbid300_dr4y-5-bottom_4_qinoa_tenuki-600-2F+qinoa+tenuki+20231202153411
+7776FU,T8
-8384FU,T0
+1716FU,T0
-1314FU,T0
+8877KA,T14
-3334FU,T18
+7978GI,T14
-7374FU,T32
+2726FU,T13
-2277UM,T27
+7877GI,T13
-3122GI,T18
+2625FU,T12
-2233GI,T18
+3736FU,T12
-7162GI,T32
+3938GI,T11
-4132KI,T18
+2937KE,T0
-6273GI,T29
+4746FU,T0
-5142OU,T26
+3745KE,T11
-3322GI,T24
+2524FU,T11
-2324FU,T18
+0066KA,T10
-0044KA,T48
+2824HI,T10
-4466KA,T19
+7766GI,T10
-4344FU,T18
+4553KE,T9
-4253OU,T18
+5968OU,T9
-0023FU,T22
+2434HI,T9
-2233GI,T18
+3435HI,T8
-0088KA,T21
+0077KA,T8
-8877UM,T18
+8977KE,T8
-5342OU,T18
+4645FU,T7
-7364GI,T18
+0022FU,T7
-3222KI,T18
+4544FU,T7
-0028KA,T19
+0037KA,T7
-2837UM,T18
+3837GI,T7
-6152KI,T26
+0061KA,T6
-0056FU,T30
+5756FU,T6
-0013KA,T38
+6878OU,T6
-4251OU,T19
+6152UM,T6
-5152OU,T5
+0054KI,T6
-2232KI,T2
+0022FU,T6
-1322KA,T2
+0024FU,T5
-2324FU,T2
+6655GI,T5
-0053FU,T2
+4443TO,T5
-3243KI,T2
+5443KI,T5
-5243OU,T2
+0044FU,T5
-4352OU,T2
+0023FU,T5
-2213KA,T2
+5564GI,T5
-6364FU,T2
+0022GI,T5
-0034GI,T2
+2233NG,T4
-3435GI,T2
+0071GI,T4
-8272HI,T2
+0062KI,T4
-7262HI,T2
+4443TO,T4
-5261OU,T2
+7162NG,T4
-6162OU,T2
+3635FU,T4
-6273OU,T2
+0071HI,T4
-0072GI,T2
+4353TO,T4
-0061KI,T2
+0062GI,T4
-6162KI,T2
+5362TO,T4
-7362OU,T2
+0082KI,T3
-0027KA,T2
+7121RY,T3
-6273OU,T2
+2171RY,T3
-0061KI,T2
+8272KI,T3
-2772UM,T2
+0082GI,T3
-7383OU,T2
+0095KE,T3
-8394OU,T2
+7181RY,T3
-8485FU,T1
+8293NG,T0
-9493OU,T3
+7785KE,T0
-9394OU,T2
+0086KE,T0
-9495OU,T2
+9796FU,T0
%TORYO
#RESIGN
#LOSE
