LOGIN:tenuki OK
BEGIN Game_Summary
Protocol_Version:1.2
Protocol_Mode:Server
Format:Shogi 1.0
Declaration:Jishogi 1.1
Game_ID:dr4prd+buoy_blackbid300_dr4y-7-bottom_4_irohamahoro_tenuki-600-2F+irohamahoro+tenuki+20231202173039
Name+:irohamahoro
Name-:tenuki
Your_Turn:-
Rematch_On_Draw:NO
To_Move:+
Max_Moves:512
BEGIN Time
Time_Unit:1sec
Total_Time:600
Byoyomi:0
Increment:2
Least_Time_Per_Move:0
END Time
BEGIN Position
P1-KY-KE-GI-KI-OU-KI-GI-KE-KY
P2 * -HI *  *  *  *  * -KA * 
P3-FU-FU-FU-FU-FU-FU-FU-FU-FU
P4 *  *  *  *  *  *  *  *  * 
P5 *  *  *  *  *  *  *  *  * 
P6 *  *  *  *  *  *  *  *  * 
P7+FU+FU+FU+FU+FU+FU+FU+FU+FU
P8 * +KA *  *  *  *  * +HI * 
P9+KY+KE+GI+KI+OU+KI+GI+KE+KY
+
+5958OU,T302
-5152OU,T2
+5859OU,T2
-5251OU,T2
END Position
END Game_Summary
START:dr4prd+buoy_blackbid300_dr4y-7-bottom_4_irohamahoro_tenuki-600-2F+irohamahoro+tenuki+20231202173039
+2726FU,T0
-8384FU,T0
+1716FU,T0
-8485FU,T18
+2625FU,T0
-3334FU,T22
+6978KI,T0
-2233KA,T23
+7776FU,T2
-3142GI,T18
+8833UM,T4
-4233GI,T18
+7988GI,T2
-4132KI,T51
+8877GI,T5
-7162GI,T0
+3938GI,T11
-7374FU,T35
+3736FU,T4
-4344FU,T42
+3837GI,T3
-6152KI,T19
+3746GI,T3
-6273GI,T19
+5968OU,T3
-5142OU,T45
+3635FU,T4
-7475FU,T21
+7675FU,T5
-8586FU,T19
+8786FU,T3
-3435FU,T26
+4635GI,T3
-5243KI,T18
+2524FU,T2
-2324FU,T18
+3524GI,T2
-3324GI,T18
+2824HI,T2
-0023FU,T18
+2426HI,T2
-0076FU,T21
+7766GI,T2
-8286HI,T18
+0087FU,T2
-8682HI,T18
+0022FU,T2
-3222KI,T18
+7574FU,T2
-7374GI,T18
+0056KA,T2
-0088FU,T24
+7888KI,T6
-0035GI,T18
+2627HI,T2
-7485GI,T18
+0072FU,T4
-3536GI,T18
+2728HI,T2
-0073KA,T20
+0037FU,T4
-3637GI,T12
+2827HI,T11
-3728NG,T2
+2726HI,T4
-2819NG,T2
+5623UM,T4
-0025FU,T2
+2625HI,T4
-2232KI,T2
+0052GI,T6
-4333KI,T2
+2332UM,T3
-4232OU,T2
+0034FU,T5
-7395KA,T2
+6858OU,T3
-3323KI,T2
+0043KI,T3
-3222OU,T2
+0024FU,T1
-2324KI,T2
+2524HI,T0
-0023FU,T2
+0033KI,T0
-2133KE,T2
+3433TO,T0
-2221OU,T2
+2423RY,T0
-0022KY,T2
+2322RY,T0
%TORYO
#RESIGN
#LOSE
