LOGIN:tenuki OK
BEGIN Game_Summary
Protocol_Version:1.2
Protocol_Mode:Server
Format:Shogi 1.0
Declaration:Jishogi 1.1
Game_ID:dr4prd+buoy_blackbid300_dr4c-1-top_4_qinoa_tenuki-600-2F+qinoa+tenuki+20231203083034
Name+:qinoa
Name-:tenuki
Your_Turn:-
Rematch_On_Draw:NO
To_Move:+
Max_Moves:512
BEGIN Time
Time_Unit:1sec
Total_Time:600
Byoyomi:0
Increment:2
Least_Time_Per_Move:0
END Time
BEGIN Position
P1-KY-KE-GI-KI-OU-KI-GI-KE-KY
P2 * -HI *  *  *  *  * -KA * 
P3-FU-FU-FU-FU-FU-FU-FU-FU-FU
P4 *  *  *  *  *  *  *  *  * 
P5 *  *  *  *  *  *  *  *  * 
P6 *  *  *  *  *  *  *  *  * 
P7+FU+FU+FU+FU+FU+FU+FU+FU+FU
P8 * +KA *  *  *  *  * +HI * 
P9+KY+KE+GI+KI+OU+KI+GI+KE+KY
+
+5958OU,T302
-5152OU,T2
+5859OU,T2
-5251OU,T2
END Position
END Game_Summary
START:dr4prd+buoy_blackbid300_dr4c-1-top_4_qinoa_tenuki-600-2F+qinoa+tenuki+20231203083034
+7776FU,T8
-3334FU,T0
+2726FU,T0
-8384FU,T0
+2625FU,T0
-8485FU,T0
+6978KI,T0
-4132KI,T0
+2524FU,T0
-2324FU,T0
+2824HI,T0
-8586FU,T0
+8786FU,T0
-8286HI,T0
+2434HI,T0
-2288UM,T0
+7988GI,T14
-0028FU,T0
+3928GI,T14
-0045KA,T0
+3424HI,T13
-0023FU,T0
+0077KA,T13
-2324FU,T0
+7786KA,T12
-0026HI,T35
+4938KI,T12
-2676HI,T18
+8677KA,T12
-6364FU,T19
+5968OU,T11
-3122GI,T35
+0083HI,T11
-4554KA,T19
+8887GI,T10
-7626HI,T18
+0082FU,T10
-5465KA,T27
+8385RY,T10
-6547UM,T18
+2827GI,T9
-2625HI,T18
+8525RY,T9
-4725UM,T18
+2736GI,T9
-0049HI,T18
+0039HI,T8
-4939RY,T18
+3839KI,T8
-0038FU,T18
+3938KI,T8
-0086FU,T21
+7786KA,T8
-2536UM,T25
+3736FU,T7
-7182GI,T18
+0063KA,T7
-0072GI,T18
+0041HI,T7
-5162OU,T18
+4161RY,T7
-6261OU,T18
+0052KI,T6
-6171OU,T18
+8664KA,T6
-3242KI,T18
+6385UM,T6
-2233GI,T24
+6453UM,T6
-4253KI,T18
+5253KI,T6
-0061FU,T18
+0063KI,T6
-0045KA,T19
+6372KI,T5
-7172OU,T18
+2937KE,T5
-4536KA,T18
+0047GI,T5
-0084FU,T22
+8552UM,T5
-3647UM,T24
+3847KI,T5
-0071KI,T18
+0085FU,T5
-8283GI,T18
+8584FU,T5
-8384GI,T18
+0085FU,T5
-8475GI,T18
+5363KI,T4
-7282OU,T15
+0072FU,T4
-0049HI,T2
+7271TO,T4
-0069HI,T2
+6877OU,T4
-6989RY,T2
+7181TO,T0
-8281OU,T2
+0072KA,T0
-8182OU,T2
+0083KI,T0
-8271OU,T2
+5261UM,T0
%TORYO
#RESIGN
#LOSE
