LOGIN:tenuki OK
BEGIN Game_Summary
Protocol_Version:1.2
Protocol_Mode:Server
Format:Shogi 1.0
Declaration:Jishogi 1.1
Game_ID:dr4prd+buoy_blackbid300_dr4c-1-bottom_4_tenuki_qinoa-600-2F+tenuki+qinoa+20231203090516
Name+:tenuki
Name-:qinoa
Your_Turn:+
Rematch_On_Draw:NO
To_Move:+
Max_Moves:512
BEGIN Time
Time_Unit:1sec
Total_Time:600
Byoyomi:0
Increment:2
Least_Time_Per_Move:0
END Time
BEGIN Position
P1-KY-KE-GI-KI-OU-KI-GI-KE-KY
P2 * -HI *  *  *  *  * -KA * 
P3-FU-FU-FU-FU-FU-FU-FU-FU-FU
P4 *  *  *  *  *  *  *  *  * 
P5 *  *  *  *  *  *  *  *  * 
P6 *  *  *  *  *  *  *  *  * 
P7+FU+FU+FU+FU+FU+FU+FU+FU+FU
P8 * +KA *  *  *  *  * +HI * 
P9+KY+KE+GI+KI+OU+KI+GI+KE+KY
+
+5958OU,T302
-5152OU,T2
+5859OU,T2
-5251OU,T2
END Position
END Game_Summary
START:dr4prd+buoy_blackbid300_dr4c-1-bottom_4_tenuki_qinoa-600-2F+tenuki+qinoa+20231203090516
+7776FU,T0
-8384FU,T7
+2726FU,T0
-8485FU,T0
+8877KA,T0
-3334FU,T0
+7988GI,T0
-2277UM,T0
+8877GI,T9
-3122GI,T0
+3948GI,T10
-2233GI,T0
+4746FU,T9
-7162GI,T0
+3736FU,T10
-7374FU,T0
+2937KE,T10
-4132KI,T0
+2625FU,T17
-6152KI,T0
+3745KE,T9
-3322GI,T24
+2524FU,T9
-0064KA,T24
+0066KA,T9
-6446KA,T24
+2423TO,T9
-2223GI,T24
+2823RY,T9
-3223KI,T23
+6611UM,T9
-4619UM,T22
+1121UM,T9
-0044KY,T21
+0047KY,T9
-0029HI,T20
+4939KI,T9
-2925RY,T20
+0037KE,T19
-2526RY,T19
+0024FU,T11
-2324KI,T18
+0032GI,T23
-2415KI,T17
+2111UM,T9
-5161OU,T17
+1133UM,T9
-6172OU,T16
+3243NG,T9
-5243KI,T16
+3343UM,T9
-0028GI,T15
+3928KI,T9
-2628RY,T14
+0061GI,T14
-7283OU,T14
+4344UM,T9
-0046FU,T13
+0072KI,T15
-4647TO,T13
+7282KI,T9
-8382OU,T13
+0084KY,T9
-8273OU,T12
+0083HI,T9
-7364OU,T12
+0049FU,T9
-0078KI,T11
+4453UM,T9
-6253GI,T11
+8363RY,T17
-6463OU,T0
+4553NK,T19
-6353OU,T11
+3745KE,T2
-5344OU,T0
+0055GI,T2
-4455OU,T0
+5756FU,T2
-5545OU,T0
+4847GI,T2
-0037KA,T0
+4948FU,T2
-2848RY,T0
%TORYO
#RESIGN
#LOSE
