LOGIN:tenuki OK
BEGIN Game_Summary
Protocol_Version:1.2
Protocol_Mode:Server
Format:Shogi 1.0
Declaration:Jishogi 1.1
Game_ID:dr4prd+buoy_blackbid300_dr4c-2-top_4_tenuki_irohamahoro-600-2F+tenuki+irohamahoro+20231203094037
Name+:tenuki
Name-:irohamahoro
Your_Turn:+
Rematch_On_Draw:NO
To_Move:+
Max_Moves:512
BEGIN Time
Time_Unit:1sec
Total_Time:600
Byoyomi:0
Increment:2
Least_Time_Per_Move:0
END Time
BEGIN Position
P1-KY-KE-GI-KI-OU-KI-GI-KE-KY
P2 * -HI *  *  *  *  * -KA * 
P3-FU-FU-FU-FU-FU-FU-FU-FU-FU
P4 *  *  *  *  *  *  *  *  * 
P5 *  *  *  *  *  *  *  *  * 
P6 *  *  *  *  *  *  *  *  * 
P7+FU+FU+FU+FU+FU+FU+FU+FU+FU
P8 * +KA *  *  *  *  * +HI * 
P9+KY+KE+GI+KI+OU+KI+GI+KE+KY
+
+5958OU,T302
-5152OU,T2
+5859OU,T2
-5251OU,T2
END Position
END Game_Summary
START:dr4prd+buoy_blackbid300_dr4c-2-top_4_tenuki_irohamahoro-600-2F+tenuki+irohamahoro+20231203094037
+2726FU,T0
-8384FU,T0
+2625FU,T0
-8485FU,T0
+6978KI,T0
-1314FU,T0
+1716FU,T0
-4132KI,T0
+3938GI,T0
-9394FU,T0
+2524FU,T10
-2324FU,T0
+2824HI,T9
-0023FU,T0
+2426HI,T10
-7172GI,T0
+7776FU,T9
-3334FU,T0
+8822UM,T17
-3122GI,T0
+7988GI,T9
-6364FU,T2
+8877GI,T9
-0035KA,T4
+2656HI,T9
-7263GI,T4
+7766GI,T10
-6354GI,T5
+5948OU,T13
-2233GI,T4
+8977KE,T13
-3344GI,T6
+3736FU,T9
-3526KA,T13
+3837GI,T16
-2637UM,T2
+2937KE,T9
-0055GI,T6
+6655GI,T9
-4455GI,T17
+5655HI,T9
-5455GI,T2
+0038GI,T13
-5544GI,T6
+0022FU,T9
-3222KI,T7
+0063KA,T20
-5142OU,T2
+0056KA,T14
-0072GI,T10
+6385UM,T9
-0089HI,T2
+0088GI,T9
-8285HI,T6
+7785KE,T9
-0055KA,T2
+6766FU,T9
-5566KA,T12
+0062FU,T18
-6171KI,T8
+8877GI,T9
-6655KA,T5
+5634KA,T10
-0035FU,T9
+3443UM,T9
-4243OU,T6
+0041HI,T9
-0042FU,T2
+3635FU,T9
-7162KI,T5
+4151RY,T13
-0036FU,T6
+5162RY,T9
-3637TO,T11
+3837GI,T9
-0045KE,T2
+3746GI,T9
-0037KA,T4
+4637GI,T3
-5537UM,T0
+4858OU,T2
-8949RY,T0
+5868OU,T2
-4959RY,T0
+6867OU,T2
-5957RY,T0
%TORYO
#RESIGN
#LOSE
