LOGIN:tenuki OK
BEGIN Game_Summary
Protocol_Version:1.2
Protocol_Mode:Server
Format:Shogi 1.0
Declaration:Jishogi 1.1
Game_ID:dr4prd+buoy_blackbid300_dr4c-3-top_4_bakuretsu_tenuki-600-2F+bakuretsu+tenuki+20231203105011
Name+:bakuretsu
Name-:tenuki
Your_Turn:-
Rematch_On_Draw:NO
To_Move:+
Max_Moves:512
BEGIN Time
Time_Unit:1sec
Total_Time:600
Byoyomi:0
Increment:2
Least_Time_Per_Move:0
END Time
BEGIN Position
P1-KY-KE-GI-KI-OU-KI-GI-KE-KY
P2 * -HI *  *  *  *  * -KA * 
P3-FU-FU-FU-FU-FU-FU-FU-FU-FU
P4 *  *  *  *  *  *  *  *  * 
P5 *  *  *  *  *  *  *  *  * 
P6 *  *  *  *  *  *  *  *  * 
P7+FU+FU+FU+FU+FU+FU+FU+FU+FU
P8 * +KA *  *  *  *  * +HI * 
P9+KY+KE+GI+KI+OU+KI+GI+KE+KY
+
+5958OU,T302
-5152OU,T2
+5859OU,T2
-5251OU,T2
END Position
END Game_Summary
START:dr4prd+buoy_blackbid300_dr4c-3-top_4_bakuretsu_tenuki-600-2F+bakuretsu+tenuki+20231203105011
+2726FU,T0
-3334FU,T0
+2625FU,T0
-2233KA,T0
+5948OU,T0
-8384FU,T18
+2524FU,T0
-2324FU,T18
+7776FU,T0
-8222HI,T18
+7675FU,T2
-3132GI,T18
+8977KE,T1
-2425FU,T18
+7765KE,T0
-6162KI,T18
+1716FU,T6
-6364FU,T35
+8833KA,T2
-2133KE,T18
+6573KE,T13
-6273KI,T18
+7574FU,T13
-7363KI,T18
+7473TO,T13
-6373KI,T18
+0074FU,T12
-7363KI,T19
+2917KE,T12
-2526FU,T18
+0036KA,T12
-7172GI,T18
+6978KI,T12
-0044KA,T21
+7888KI,T11
-0027KE,T19
+2829HI,T3
-2719NK,T18
+2919HI,T2
-2627TO,T18
+7473FU,T12
-8173KE,T18
+4938KI,T12
-2738TO,T18
+3938GI,T12
-7365KE,T35
+0075KE,T11
-6362KI,T25
+1959HI,T11
-4417UM,T19
+3672KA,T11
-6272KI,T20
+0063GI,T11
-3345KE,T29
+6372NG,T9
-5142OU,T18
+0049KI,T11
-4231OU,T18
+0023FU,T10
-2223HI,T18
+6766FU,T10
-0076KA,T28
+6665FU,T1
-2328RY,T18
+5958HI,T2
-0066KE,T18
+0023KE,T2
-3223GI,T18
+4859OU,T0
-2839RY,T13
+5878HI,T0
-6678NK,T2
+4939KI,T0
-0058KI,T2
%TORYO
#RESIGN
#WIN
