LOGIN:tenuki OK
BEGIN Game_Summary
Protocol_Version:1.2
Protocol_Mode:Server
Format:Shogi 1.0
Declaration:Jishogi 1.1
Game_ID:dr4prd+buoy_blackbid300_dr4c-7-top_4_tenuki_nanoha-600-2F+tenuki+nanoha+20231203163044
Name+:tenuki
Name-:nanoha
Your_Turn:+
Rematch_On_Draw:NO
To_Move:+
Max_Moves:512
BEGIN Time
Time_Unit:1sec
Total_Time:600
Byoyomi:0
Increment:2
Least_Time_Per_Move:0
END Time
BEGIN Position
P1-KY-KE-GI-KI-OU-KI-GI-KE-KY
P2 * -HI *  *  *  *  * -KA * 
P3-FU-FU-FU-FU-FU-FU-FU-FU-FU
P4 *  *  *  *  *  *  *  *  * 
P5 *  *  *  *  *  *  *  *  * 
P6 *  *  *  *  *  *  *  *  * 
P7+FU+FU+FU+FU+FU+FU+FU+FU+FU
P8 * +KA *  *  *  *  * +HI * 
P9+KY+KE+GI+KI+OU+KI+GI+KE+KY
+
+5958OU,T302
-5152OU,T2
+5859OU,T2
-5251OU,T2
END Position
END Game_Summary
START:dr4prd+buoy_blackbid300_dr4c-7-top_4_tenuki_nanoha-600-2F+tenuki+nanoha+20231203163044
+7776FU,T0
-8384FU,T1
+2868HI,T0
-3334FU,T0
+6766FU,T0
-7162GI,T0
+5948OU,T0
-5354FU,T0
+7978GI,T0
-5142OU,T0
+3938GI,T0
-4232OU,T0
+4839OU,T0
-6253GI,T0
+1716FU,T9
-6152KI,T0
+1615FU,T9
-2233KA,T0
+7867GI,T9
-3222OU,T0
+6756GI,T9
-2324FU,T18
+5645GI,T9
-2223OU,T40
+2726FU,T15
-4344FU,T39
+4536GI,T9
-3132GI,T37
+2625FU,T9
-8485FU,T13
+8877KA,T9
-2425FU,T1
+3625GI,T9
-5243KI,T24
+6958KI,T16
-4445FU,T87
+2536GI,T18
-7374FU,T25
+2917KE,T19
-7475FU,T12
+1725KE,T9
-3322KA,T20
+0024FU,T9
-2324OU,T2
+6665FU,T10
-2277KA,T24
+8977KE,T9
-2423OU,T0
+0066KA,T9
-0055KA,T21
+6655KA,T9
-5455FU,T0
+0066KA,T19
-0022KA,T13
+6564FU,T9
-5364GI,T15
+6675KA,T9
-0024FU,T0
+1514FU,T17
-1314FU,T15
+0012FU,T9
-2312OU,T23
+7564KA,T9
-6364FU,T0
+6864HI,T9
-5556FU,T0
+0013FU,T9
-1223OU,T7
+0012GI,T9
-1112KY,T0
+1312TO,T9
-2312OU,T13
+1914KY,T9
-1223OU,T10
+0019KY,T17
-2425FU,T30
+6461RY,T13
-2277UM,T8
+0022FU,T11
-0018FU,T9
+1918KY,T9
-0026KE,T5
+2221TO,T2
-2618NK,T5
+3625GI,T2
-0024FU,T10
+1413NY,T2
-2313OU,T6
+0014FU,T2
-1323OU,T5
+1413TO,T2
-2313OU,T16
+0014FU,T2
-1323OU,T7
+0015KE,T2
-2333OU,T5
+2131TO,T2
-0028GI,T21
+3948OU,T2
-0066KE,T0
+3132TO,T2
-4132KI,T7
+1413TO,T2
-6658NK,T4
+4958KI,T2
-0039KA,T8
+4849OU,T2
-0048KY,T4
+5848KI,T2
-0059KI,T0
%TORYO
#RESIGN
#LOSE
